date,symbol,expiry,strike,option_type,open,high,low,close,settle_price,underlying_price,open_interest,oi_change,volume
2024-12-02,NIFTY,2024-12-19,22300.0,PE,0.0,0.0,0.0,55.45,0.3,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-12,22300.0,PE,4.8,4.9,3.1,3.65,3.65,24276.05,83250.0,37600.0,6443.0
2024-12-02,NIFTY,2024-12-19,22450.0,PE,0.0,0.0,0.0,12.5,0.65,24276.05,600.0,0.0,0.0
2024-12-02,NIFTY,2025-01-02,22450.0,PE,0.0,0.0,0.0,132.15,6.15,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,22300.0,PE,71.9,71.9,52.8,55.15,55.15,24276.05,115675.0,7275.0,1857.0
2024-12-02,NIFTY,2024-12-05,22300.0,PE,1.05,1.8,1.0,1.4,1.4,24276.05,1427050.0,510925.0,205326.0
2024-12-02,NIFTY,2024-12-19,22300.0,CE,0.0,0.0,0.0,1430.2,2046.35,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-02-27,22300.0,CE,0.0,0.0,0.0,2152.85,2377.05,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2024-12-26,22300.0,CE,1886.05,2175.9,1886.05,2175.9,2076.3,24276.05,3650.0,-25.0,4.0
2024-12-02,NIFTY,2025-01-02,22450.0,CE,0.0,0.0,0.0,1219.85,1960.55,24276.05,0.0,0.0,0.0
2024-12-02,NIFTY,2025-01-30,22100.0,CE,0.0,0.0,0.0,2578.15,2430.15,24276.05,0.0,0.0,0.0
